date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:51:45	0/0	---M--	200	added ('OK')	text/plain	etag:%225bb70230-0%22	http://preview.themeforest.net/robots.txt		(from )
02:51:46	28432/28432	---MCZ	200	added ('OK')	text/html	etag:W/%226556d21857c7c464d7418a93c7537db5%22	http://preview.themeforest.net/item/charitify-ngocharityfundraising-html-template/full_screen_preview/21884830	C:/My%20Web%20Sites/Donate/preview.themeforest.net/item/charitify-ngocharityfundraising-html-template/full_screen_preview/21884830.html	(from )
02:51:47	189774/189774	---MCZ	200	added ('OK')	text/css	date:Fri,%2014%20Sep%202018%2002:05:26%20GMT	https://public-assets.envato-static.com/assets/market/core/index-35c302a3c436a185d3d399777264fd126429e5b98f02e9ac860a49b749fb57ae.css	C:/My%20Web%20Sites/Donate/public-assets.envato-static.com/assets/market/core/index-35c302a3c436a185d3d399777264fd126429e5b98f02e9ac860a49b749fb57ae.css	(from http://preview.themeforest.net/item/charitify-ngocharityfundraising-html-template/full_screen_preview/21884830)
02:51:50	1977/1977	---MCZ	200	added ('OK')	text/css	date:Wed,%2020%20Jun%202018%2001:30:30%20GMT	https://public-assets.envato-static.com/assets/market/pages/preview/index-004d35cdd5d555cdd3e956d1b916825642de06529f0fe91fd9f390813761d2fc.css	C:/My%20Web%20Sites/Donate/public-assets.envato-static.com/assets/market/pages/preview/index-004d35cdd5d555cdd3e956d1b916825642de06529f0fe91fd9f390813761d2fc.css	(from http://preview.themeforest.net/item/charitify-ngocharityfundraising-html-template/full_screen_preview/21884830)
02:51:50	3056/3056	---M--	200	added ('OK')	image/png	etag:%223305876b2f17da6c9a0d8c1bb60b62db%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	C:/My%20Web%20Sites/Donate/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	(from http://preview.themeforest.net/item/charitify-ngocharityfundraising-html-template/full_screen_preview/21884830)
02:51:50	6700/6700	---M--	200	added ('OK')	image/png	etag:%2271bb96fca73f4ae046c5e4860cb86af5%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	C:/My%20Web%20Sites/Donate/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	(from http://preview.themeforest.net/item/charitify-ngocharityfundraising-html-template/full_screen_preview/21884830)
02:51:50	9251/9251	---M--	200	added ('OK')	image/png	etag:%22571b0585baccf30bde09cb6e5aad849f%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	C:/My%20Web%20Sites/Donate/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	(from http://preview.themeforest.net/item/charitify-ngocharityfundraising-html-template/full_screen_preview/21884830)
02:51:51	9251/9251	---M--	200	added ('OK')	image/png	etag:%22571b0585baccf30bde09cb6e5aad849f%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-precomposed.png	C:/My%20Web%20Sites/Donate/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-precomposed.png	(from http://preview.themeforest.net/item/charitify-ngocharityfundraising-html-template/full_screen_preview/21884830)
02:51:52	132882/132882	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2007%20Sep%202018%2004:23:42%20GMT	https://public-assets.envato-static.com/assets/market/pages/full_screen_preview/index-58946df87e9876e43df3b356958c61872794777f3aed5f8ff743428fbb717696.js	C:/My%20Web%20Sites/Donate/public-assets.envato-static.com/assets/market/pages/full_screen_preview/index-58946df87e9876e43df3b356958c61872794777f3aed5f8ff743428fbb717696.js	(from http://preview.themeforest.net/item/charitify-ngocharityfundraising-html-template/full_screen_preview/21884830)
02:51:53	0/0	---MC-	410	error ('Gone')	text/html	date:Fri,%2005%20Oct%202018%2021:21:55%20GMT	http://preview.themeforest.net/item/charitify-ngocharityfundraising-html-template/full_screen_preview/linkid.js	C:/My%20Web%20Sites/Donate/preview.themeforest.net/item/charitify-ngocharityfundraising-html-template/full_screen_preview/linkid.js	(from http://preview.themeforest.net/item/charitify-ngocharityfundraising-html-template/full_screen_preview/21884830)
02:51:54	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2005%20Oct%202018%2021:21:55%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/Donate/www.googletagmanager.com/gtm.a5445.delayed	(from http://preview.themeforest.net/item/charitify-ngocharityfundraising-html-template/full_screen_preview/21884830)
02:51:54	43178/43178	---MC-	200	added ('OK')	text/javascript	date:Mon,%2001%20Oct%202018%2017:56:18%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/Donate/www.google-analytics.com/analytics.js	(from http://preview.themeforest.net/item/charitify-ngocharityfundraising-html-template/full_screen_preview/21884830)
02:51:55	4582/4582	---M--	200	added ('OK')	image/gif	etag:%22b82fe82bf7b78763e2fb6079e484ba04%22	https://public-assets.envato-static.com/assets/common/pagination_loader-7fb337642f4cde133550f90749ee6eeb94b0d56dce6ae041cacc18c2bae22699.gif	C:/My%20Web%20Sites/Donate/public-assets.envato-static.com/assets/common/pagination_loader-7fb337642f4cde133550f90749ee6eeb94b0d56dce6ae041cacc18c2bae22699.gif	(from https://public-assets.envato-static.com/assets/market/core/index-35c302a3c436a185d3d399777264fd126429e5b98f02e9ac860a49b749fb57ae.css)
